LanePointX,LanePointY
-1.646000,6.000000
-1.644500,6.000000
-1.644125,6.000000
-1.643708,6.000000
-1.643306,6.000000
-1.642917,6.000000
-1.642543,6.000000
-1.642183,6.000000
-1.641836,6.000000
-1.641505,6.000000
-1.641187,6.000000
-1.640883,6.000000
-1.640594,6.000000
-1.640318,6.000000
-1.640057,6.000000
-1.639810,6.000000
-1.637776,6.000000
-1.637769,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637776,6.000000
-1.637734,6.000000
-1.637651,6.000000
-1.615598,6.000000
-1.611949,6.000000
-1.607933,6.000000
-1.603559,6.000000
-1.598722,6.000000
-1.593468,6.000000
-1.587799,6.000000
-1.581605,6.000000
-1.574941,6.000000
-1.567813,6.000000
-1.560122,6.000000
-1.551855,6.000000
-1.543101,6.000000
-1.533747,6.000000
-1.523876,6.000000
-1.292002,6.000000
-1.272944,6.000000
-1.253288,6.000000
-1.233027,6.000000
-1.212281,6.000000
-1.190991,6.000000
-1.169165,6.000000
-1.146789,6.000000
-1.123870,6.000000
-1.100406,6.000000
-1.076402,6.000000
-1.051922,6.000000
-1.026738,6.000000
-1.001118,6.000000
-0.974934,6.000000
-0.482126,6.000000
-0.446690,6.000000
-0.410746,6.000000
-0.374339,6.000000
-0.337193,6.000000
-0.299587,6.000000
-0.261454,6.000000
-0.222786,6.000000
-0.183562,6.000000
-0.143764,6.000000
-0.103487,6.000000
-0.062626,6.000000
-0.021238,6.000000
0.020717,6.000000
0.063179,6.000000
0.816736,6.000000
0.868427,6.000000
0.920529,6.000000
0.973324,6.000000
1.026831,6.000000
1.080565,6.000000
1.134963,6.000000
1.189937,6.000000
1.245448,6.000000
1.301490,6.000000
1.358092,6.000000
1.415237,6.000000
1.472901,6.000000
1.531126,6.000000
1.589884,6.000000
2.604202,6.000000
2.671867,6.000000
2.740366,6.000000
2.809655,6.000000
2.879048,6.000000
2.949186,6.000000
3.020087,6.000000
3.091131,6.000000
3.162918,6.000000
3.235435,6.000000
3.308298,6.000000
3.381708,6.000000
3.455640,6.000000
3.530123,6.000000
3.605170,6.000000
4.866411,6.000000
4.948396,6.000000
5.030759,6.000000
5.113333,6.000000
5.196308,6.000000
5.279563,6.000000
5.363136,6.000000
5.446949,6.000000
5.530998,6.000000
5.614920,6.000000
5.699544,6.000000
5.784160,6.000000
5.869008,6.000000
5.954041,6.000000
6.039283,6.000000
7.418272,6.000000
7.504793,6.000000
7.591276,6.000000
7.677755,6.000000
7.764218,6.000000
7.850654,6.000000
7.936791,6.000000
8.023483,6.000000
8.109863,6.000000
8.196243,6.000000
8.282594,6.000000
8.368686,6.000000
8.455270,6.000000
8.541561,6.000000
8.627870,6.000000
10.006123,6.000000
10.092133,6.000000
10.178102,6.000000
10.264061,6.000000
10.350020,6.000000
10.435981,6.000000
10.521871,6.000000
10.607746,6.000000
10.693622,6.000000
10.779488,6.000000
10.865079,6.000000
10.950890,6.000000
11.036704,6.000000
11.122753,6.000000
11.208537,6.000000
12.578613,6.000000
12.664127,6.000000
12.749570,6.000000
12.834772,6.000000
12.920466,6.000000
13.005933,6.000000
13.091011,6.000000
13.176672,6.000000
13.262019,6.000000
13.347125,6.000000
13.432696,6.000000
13.517776,6.000000
13.603311,6.000000
13.688353,6.000000
13.773852,6.000000
15.135755,6.000000
15.220485,6.000000
15.305691,6.000000
15.390656,6.000000
15.475556,6.000000
15.560478,6.000000
15.645359,6.000000
15.730271,6.000000
15.815088,6.000000
15.899930,6.000000
15.984830,6.000000
16.069565,6.000000
16.154358,6.000000
16.239114,6.000000
16.323866,6.000000
17.677365,6.000000
17.762081,6.000000
17.846561,6.000000
17.930730,6.000000
18.015119,6.000000
18.099747,6.000000
18.184141,6.000000
18.268270,6.000000
18.352857,6.000000
18.437200,6.000000
18.521264,6.000000
18.605569,6.000000
18.690094,6.000000
18.774104,6.000000
18.858603,6.000000
20.204212,6.000000
20.288166,6.000000
20.372103,6.000000
20.456031,6.000000
20.539950,6.000000
20.623616,6.000000
20.707763,6.000000
20.791570,6.000000
20.875391,6.000000
20.958962,6.000000
21.043009,6.000000
21.126796,6.000000
21.210316,6.000000
21.294299,6.000000
