LanePointX,LanePointY
-1.646000,0.000000
-1.645958,0.000000
-1.645875,0.000000
-1.645750,0.000000
-1.645583,0.000000
-1.645375,0.000000
-1.645125,0.000000
-1.644833,0.000000
-1.644500,0.000000
-1.644125,0.000000
-1.643708,0.000000
-1.643306,0.000000
-1.642917,0.000000
-1.642543,0.000000
-1.642183,0.000000
-1.641836,0.000000
-1.641505,0.000000
-1.641187,0.000000
-1.640883,0.000000
-1.640594,0.000000
-1.640318,0.000000
-1.640057,0.000000
-1.639810,0.000000
-1.639576,0.000000
-1.639358,0.000000
-1.639153,0.000000
-1.638962,0.000000
-1.638786,0.000000
-1.638623,0.000000
-1.638475,0.000000
-1.638341,0.000000
-1.638221,0.000000
-1.638115,0.000000
-1.638023,0.000000
-1.637945,0.000000
-1.637882,0.000000
-1.637832,0.000000
-1.637797,0.000000
-1.637776,0.000000
-1.637769,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637776,0.000000
-1.637734,0.000000
-1.637651,0.000000
-1.637526,0.000000
-1.637303,0.000000
-1.636983,0.000000
-1.636566,0.000000
-1.635995,0.000000
-1.635272,0.000000
-1.634394,0.000000
-1.633308,0.000000
-1.632017,0.000000
-1.630508,0.000000
-1.628739,0.000000
-1.626713,0.000000
-1.624406,0.000000
-1.621787,0.000000
-1.618856,0.000000
-1.615598,0.000000
-1.611949,0.000000
-1.607933,0.000000
-1.603559,0.000000
-1.598722,0.000000
-1.593468,0.000000
-1.587799,0.000000
-1.581605,0.000000
-1.574941,0.000000
-1.567813,0.000000
-1.560122,0.000000
-1.551855,0.000000
-1.543101,0.000000
-1.533747,0.000000
-1.523876,0.000000
-1.513494,0.000000
-1.502501,0.000000
-1.491001,0.000000
-1.478994,0.000000
-1.466367,0.000000
-1.453215,0.000000
-1.439602,0.000000
-1.425382,0.000000
-1.410570,0.000000
-1.395265,0.000000
-1.379465,0.000000
-1.363015,0.000000
-1.346079,0.000000
-1.328646,0.000000
-1.310565,0.000000
-1.292002,0.000000
-1.272944,0.000000
-1.253288,0.000000
-1.233027,0.000000
-1.212281,0.000000
-1.190991,0.000000
-1.169165,0.000000
-1.146789,0.000000
-1.123870,0.000000
-1.100406,0.000000
-1.076402,0.000000
-1.051922,0.000000
-1.026738,0.000000
-1.001118,0.000000
-0.974934,0.000000
-0.948211,0.000000
-0.920944,0.000000
-0.893134,0.000000
-0.864776,0.000000
-0.835875,0.000000
-0.806433,0.000000
-0.776448,0.000000
-0.745923,0.000000
-0.714836,0.000000
-0.683331,0.000000
-0.651178,0.000000
-0.618374,0.000000
-0.585235,0.000000
-0.551441,0.000000
-0.517009,0.000000
-0.482126,0.000000
-0.446690,0.000000
-0.410746,0.000000
-0.374339,0.000000
-0.337193,0.000000
-0.299587,0.000000
-0.261454,0.000000
-0.222786,0.000000
-0.183562,0.000000
-0.143764,0.000000
-0.103487,0.000000
-0.062626,0.000000
-0.021238,0.000000
0.020717,0.000000
0.063179,0.000000
0.106212,0.000000
0.149775,0.000000
0.193914,0.000000
0.238543,0.000000
0.283609,0.000000
0.329473,0.000000
0.375750,0.000000
0.422583,0.000000
0.469940,0.000000
0.517864,0.000000
0.566333,0.000000
0.615308,0.000000
0.664849,0.000000
0.714941,0.000000
0.765409,0.000000
0.816736,0.000000
0.868427,0.000000
0.920529,0.000000
0.973324,0.000000
1.026831,0.000000
1.080565,0.000000
1.134963,0.000000
1.189937,0.000000
1.245448,0.000000
1.301490,0.000000
1.358092,0.000000
1.415237,0.000000
1.472901,0.000000
1.531126,0.000000
1.589884,0.000000
1.649188,0.000000
1.709051,0.000000
1.769440,0.000000
1.830375,0.000000
1.891848,0.000000
1.954180,0.000000
2.016443,0.000000
2.079518,0.000000
2.143361,0.000000
2.207555,0.000000
2.272091,0.000000
2.337553,0.000000
2.403170,0.000000
2.469536,0.000000
2.536642,0.000000
2.604202,0.000000
2.671867,0.000000
2.740366,0.000000
2.809655,0.000000
2.879048,0.000000
2.949186,0.000000
3.020087,0.000000
3.091131,0.000000
3.162918,0.000000
3.235435,0.000000
3.308298,0.000000
3.381708,0.000000
3.455640,0.000000
3.530123,0.000000
3.605170,0.000000
3.680722,0.000000
3.756827,0.000000
3.833386,0.000000
3.910344,0.000000
3.987743,0.000000
4.065589,0.000000
4.143836,0.000000
4.222535,0.000000
4.301409,0.000000
4.381180,0.000000
4.461167,0.000000
4.541565,0.000000
4.622302,0.000000
4.703355,0.000000
4.784704,0.000000
4.866411,0.000000
4.948396,0.000000
5.030759,0.000000
5.113333,0.000000
5.196308,0.000000
5.279563,0.000000
5.363136,0.000000
5.446949,0.000000
5.530998,0.000000
5.614920,0.000000
5.699544,0.000000
5.784160,0.000000
5.869008,0.000000
5.954041,0.000000
6.039283,0.000000
6.124720,0.000000
6.210346,0.000000
6.296112,0.000000
6.381965,0.000000
6.467620,0.000000
6.553912,0.000000
6.640038,0.000000
6.726262,0.000000
6.812591,0.000000
6.898953,0.000000
6.985236,0.000000
7.072055,0.000000
7.158667,0.000000
7.245210,0.000000
7.331489,0.000000
7.418272,0.000000
7.504793,0.000000
7.591276,0.000000
7.677755,0.000000
7.764218,0.000000
7.850654,0.000000
7.936791,0.000000
8.023483,0.000000
8.109863,0.000000
8.196243,0.000000
8.282594,0.000000
8.368686,0.000000
8.455270,0.000000
8.541561,0.000000
8.627870,0.000000
8.714117,0.000000
8.800093,0.000000
8.886593,0.000000
8.972818,0.000000
9.059035,0.000000
9.145212,0.000000
9.231153,0.000000
9.317547,0.000000
9.403661,0.000000
9.489768,0.000000
9.575899,0.000000
9.661700,0.000000
9.747782,0.000000
9.834115,0.000000
9.920134,0.000000
10.006123,0.000000
10.092133,0.000000
10.178102,0.000000
10.264061,0.000000
10.350020,0.000000
10.435981,0.000000
10.521871,0.000000
10.607746,0.000000
10.693622,0.000000
10.779488,0.000000
10.865079,0.000000
10.950890,0.000000
11.036704,0.000000
11.122753,0.000000
11.208537,0.000000
11.294292,0.000000
11.380028,0.000000
11.465747,0.000000
11.551459,0.000000
11.637156,0.000000
11.722828,0.000000
11.808529,0.000000
11.894090,0.000000
11.979461,0.000000
12.065336,0.000000
12.150927,0.000000
12.236246,0.000000
12.322061,0.000000
12.407601,0.000000
12.492856,0.000000
12.578613,0.000000
12.664127,0.000000
12.749570,0.000000
12.834772,0.000000
12.920466,0.000000
13.005933,0.000000
13.091011,0.000000
13.176672,0.000000
13.262019,0.000000
13.347125,0.000000
13.432696,0.000000
13.517776,0.000000
13.603311,0.000000
13.688353,0.000000
13.773852,0.000000
13.859163,0.000000
13.944329,0.000000
14.029537,0.000000
14.114797,0.000000
14.199926,0.000000
14.285087,0.000000
14.370229,0.000000
14.455354,0.000000
14.540468,0.000000
14.625557,0.000000
14.710651,0.000000
14.795689,0.000000
14.880737,0.000000
14.965752,0.000000
15.050746,0.000000
15.135755,0.000000
15.220485,0.000000
15.305691,0.000000
15.390656,0.000000
15.475556,0.000000
15.560478,0.000000
15.645359,0.000000
15.730271,0.000000
15.815088,0.000000
15.899930,0.000000
15.984830,0.000000
16.069565,0.000000
16.154358,0.000000
16.239114,0.000000
16.323866,0.000000
16.408641,0.000000
16.493321,0.000000
16.577793,0.000000
16.662458,0.000000
16.747391,0.000000
16.832068,0.000000
16.916674,0.000000
17.001317,0.000000
17.085917,0.000000
17.170496,0.000000
17.255065,0.000000
17.339602,0.000000
17.423896,0.000000
17.508645,0.000000
17.593150,0.000000
17.677365,0.000000
17.762081,0.000000
17.846561,0.000000
17.930730,0.000000
18.015119,0.000000
18.099747,0.000000
18.184141,0.000000
18.268270,0.000000
18.352857,0.000000
18.437200,0.000000
18.521264,0.000000
18.605569,0.000000
18.690094,0.000000
18.774104,0.000000
18.858603,0.000000
18.942838,0.000000
19.026775,0.000000
19.111227,0.000000
19.195409,0.000000
19.279312,0.000000
19.363436,0.000000
19.447858,0.000000
19.531943,0.000000
19.615795,0.000000
19.700145,0.000000
19.784204,0.000000
19.867958,0.000000
19.952248,0.000000
20.036253,0.000000
20.120245,0.000000
20.204212,0.000000
20.288166,0.000000
20.372103,0.000000
20.456031,0.000000
20.539950,0.000000
20.623616,0.000000
20.707763,0.000000
20.791570,0.000000
20.875391,0.000000
20.958962,0.000000
21.043009,0.000000
21.126796,0.000000
21.210316,0.000000
21.294299,0.000000
21.378029,0.000000
21.461512,0.000000
21.545460,0.000000
21.629197,0.000000
21.712610,0.000000
21.796491,0.000000
21.880111,0.000000
21.963505,0.000000
22.047325,0.000000
22.130919,0.000000
22.214488,0.000000
22.297795,0.000000
22.381581,0.000000
22.465093,0.000000
22.548349,0.000000
22.632094,0.000000
22.715552,0.000000
22.798740,0.000000
22.882404,0.000000
22.965843,0.000000
23.048984,0.000000
23.132610,0.000000
23.215960,0.000000
23.299092,0.000000
23.382661,0.000000
23.466014,0.000000
23.549285,0.000000
23.632302,0.000000
23.715805,0.000000
23.799067,0.000000
23.882042,0.000000
23.965518,0.000000
24.048697,0.000000
24.131640,0.000000
24.215041,0.000000
24.298223,0.000000
24.381070,0.000000
24.464424,0.000000
24.547506,0.000000
24.630348,0.000000
24.713390,0.000000
24.796710,0.000000
24.879745,0.000000
24.962505,0.000000
25.045735,0.000000
25.128741,0.000000
25.211433,0.000000
25.294614,0.000000
25.377553,0.000000
25.460215,0.000000
25.543367,0.000000
25.626238,0.000000
25.708843,0.000000
25.791923,0.000000
25.874772,0.000000
25.957317,0.000000
26.040342,0.000000
26.123130,0.000000
26.205876,0.000000
26.288382,0.000000
26.371353,0.000000
26.454063,0.000000
26.536504,0.000000
26.619423,0.000000
26.702086,0.000000
26.784717,0.000000
26.867357,0.000000
26.949968,0.000000
27.032542,0.000000
27.115157,0.000000
27.197660,0.000000
27.279960,0.000000
27.362713,0.000000
27.445001,0.000000
27.527720,0.000000
27.610184,0.000000
27.692642,0.000000
27.774811,0.000000
27.857235,0.000000
27.939882,0.000000
28.022274,0.000000
28.104412,0.000000
