LanePointX,LanePointY
-1.646000,2.000000
-1.644500,2.000000
-1.644125,2.000000
-1.643708,2.000000
-1.643306,2.000000
-1.642917,2.000000
-1.642543,2.000000
-1.642183,2.000000
-1.641836,2.000000
-1.641505,2.000000
-1.641187,2.000000
-1.640883,2.000000
-1.640594,2.000000
-1.640318,2.000000
-1.640057,2.000000
-1.639810,2.000000
-1.637776,2.000000
-1.637769,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637776,2.000000
-1.637734,2.000000
-1.637651,2.000000
-1.615598,2.000000
-1.611949,2.000000
-1.607933,2.000000
-1.603559,2.000000
-1.598722,2.000000
-1.593468,2.000000
-1.587799,2.000000
-1.581605,2.000000
-1.574941,2.000000
-1.567813,2.000000
-1.560122,2.000000
-1.551855,2.000000
-1.543101,2.000000
-1.533747,2.000000
-1.523876,2.000000
-1.292002,2.000000
-1.272944,2.000000
-1.253288,2.000000
-1.233027,2.000000
-1.212281,2.000000
-1.190991,2.000000
-1.169165,2.000000
-1.146789,2.000000
-1.123870,2.000000
-1.100406,2.000000
-1.076402,2.000000
-1.051922,2.000000
-1.026738,2.000000
-1.001118,2.000000
-0.974934,2.000000
-0.482126,2.000000
-0.446690,2.000000
-0.410746,2.000000
-0.374339,2.000000
-0.337193,2.000000
-0.299587,2.000000
-0.261454,2.000000
-0.222786,2.000000
-0.183562,2.000000
-0.143764,2.000000
-0.103487,2.000000
-0.062626,2.000000
-0.021238,2.000000
0.020717,2.000000
0.063179,2.000000
0.816736,2.000000
0.868427,2.000000
0.920529,2.000000
0.973324,2.000000
1.026831,2.000000
1.080565,2.000000
1.134963,2.000000
1.189937,2.000000
1.245448,2.000000
1.301490,2.000000
1.358092,2.000000
1.415237,2.000000
1.472901,2.000000
1.531126,2.000000
1.589884,2.000000
2.604202,2.000000
2.671867,2.000000
2.740366,2.000000
2.809655,2.000000
2.879048,2.000000
2.949186,2.000000
3.020087,2.000000
3.091131,2.000000
3.162918,2.000000
3.235435,2.000000
3.308298,2.000000
3.381708,2.000000
3.455640,2.000000
3.530123,2.000000
3.605170,2.000000
4.866411,2.000000
4.948396,2.000000
5.030759,2.000000
5.113333,2.000000
5.196308,2.000000
5.279563,2.000000
5.363136,2.000000
5.446949,2.000000
5.530998,2.000000
5.614920,2.000000
5.699544,2.000000
5.784160,2.000000
5.869008,2.000000
5.954041,2.000000
6.039283,2.000000
7.418272,2.000000
7.504793,2.000000
7.591276,2.000000
7.677755,2.000000
7.764218,2.000000
7.850654,2.000000
7.936791,2.000000
8.023483,2.000000
8.109863,2.000000
8.196243,2.000000
8.282594,2.000000
8.368686,2.000000
8.455270,2.000000
8.541561,2.000000
8.627870,2.000000
10.006123,2.000000
10.092133,2.000000
10.178102,2.000000
10.264061,2.000000
10.350020,2.000000
10.435981,2.000000
10.521871,2.000000
10.607746,2.000000
10.693622,2.000000
10.779488,2.000000
10.865079,2.000000
10.950890,2.000000
11.036704,2.000000
11.122753,2.000000
11.208537,2.000000
12.578613,2.000000
12.664127,2.000000
12.749570,2.000000
12.834772,2.000000
12.920466,2.000000
13.005933,2.000000
13.091011,2.000000
13.176672,2.000000
13.262019,2.000000
13.347125,2.000000
13.432696,2.000000
13.517776,2.000000
13.603311,2.000000
13.688353,2.000000
13.773852,2.000000
15.135755,2.000000
15.220485,2.000000
15.305691,2.000000
15.390656,2.000000
15.475556,2.000000
15.560478,2.000000
15.645359,2.000000
15.730271,2.000000
15.815088,2.000000
15.899930,2.000000
15.984830,2.000000
16.069565,2.000000
16.154358,2.000000
16.239114,2.000000
16.323866,2.000000
17.677365,2.000000
17.762081,2.000000
17.846561,2.000000
17.930730,2.000000
18.015119,2.000000
18.099747,2.000000
18.184141,2.000000
18.268270,2.000000
18.352857,2.000000
18.437200,2.000000
18.521264,2.000000
18.605569,2.000000
18.690094,2.000000
18.774104,2.000000
18.858603,2.000000
20.204212,2.000000
20.288166,2.000000
20.372103,2.000000
20.456031,2.000000
20.539950,2.000000
20.623616,2.000000
20.707763,2.000000
20.791570,2.000000
20.875391,2.000000
20.958962,2.000000
21.043009,2.000000
21.126796,2.000000
21.210316,2.000000
21.294299,2.000000
21.378029,2.000000
22.715552,2.000000
22.798740,2.000000
22.882404,2.000000
22.965843,2.000000
23.048984,2.000000
23.132610,2.000000
23.215960,2.000000
23.299092,2.000000
23.382661,2.000000
23.466014,2.000000
23.549285,2.000000
23.632302,2.000000
23.715805,2.000000
23.799067,2.000000
23.882042,2.000000
25.211433,2.000000
25.294614,2.000000
25.377553,2.000000
25.460215,2.000000
25.543367,2.000000
25.626238,2.000000
25.708843,2.000000
25.791923,2.000000
25.874772,2.000000
25.957317,2.000000
26.040342,2.000000
26.123130,2.000000
26.205876,2.000000
26.288382,2.000000
26.371353,2.000000
27.692642,2.000000
27.774811,2.000000
27.857235,2.000000
27.939882,2.000000
28.022274,2.000000
28.104412,2.000000
28.187006,2.000000
28.269112,2.000000
28.351435,2.000000
28.433723,2.000000
28.516283,2.000000
28.598287,2.000000
28.680530,2.000000
28.763012,2.000000
28.844993,2.000000
30.159027,2.000000
30.241221,2.000000
30.323522,2.000000
30.405766,2.000000
30.488088,2.000000
30.570455,2.000000
30.652985,2.000000
30.735023,2.000000
30.817633,2.000000
30.900001,2.000000
30.982076,2.000000
31.064383,2.000000
31.146721,2.000000
31.228986,2.000000
31.311523,2.000000
32.625597,2.000000
32.707561,2.000000
32.789536,2.000000
32.871484,2.000000
32.953427,2.000000
33.035424,2.000000
33.117006,2.000000
33.199140,2.000000
33.281007,2.000000
33.362622,2.000000
33.444691,2.000000
33.526515,2.000000
33.608066,2.000000
33.690088,2.000000
33.771883,2.000000
35.077888,2.000000
35.159129,2.000000
35.240847,2.000000
35.322279,2.000000
35.403784,2.000000
35.484885,2.000000
35.566503,2.000000
35.647935,2.000000
35.729019,2.000000
35.810359,2.000000
35.891991,2.000000
35.973015,2.000000
36.054309,2.000000
36.135590,2.000000
36.216858,2.000000
37.515068,2.000000
37.596061,2.000000
37.676993,2.000000
37.757710,2.000000
37.838632,2.000000
37.919845,2.000000
38.000682,2.000000
38.081351,2.000000
38.162202,2.000000
38.243304,2.000000
38.323875,2.000000
38.404689,2.000000
38.485506,2.000000
38.566283,2.000000
38.647080,2.000000
39.943918,2.000000
40.025215,2.000000
40.105994,2.000000
40.186991,2.000000
40.268219,2.000000
40.348970,2.000000
40.430187,2.000000
40.511107,2.000000
40.592025,2.000000
40.672910,2.000000
